year,month,nino_t,nino_tminus1,nino_tminus2,nino_tplus1,nino_tplus2,nino_tplus3,nino_tplus4,nino_tplus5,nino_tplus6
2011,1,-1.54,-1.6,-1.64,-1.11,-0.93,-0.77,-0.52,-0.38,-0.43
2011,2,-1.11,-1.54,-1.6,-0.93,-0.77,-0.52,-0.38,-0.43,-0.65
2011,3,-0.93,-1.11,-1.54,-0.77,-0.52,-0.38,-0.43,-0.65,-0.8
2011,4,-0.77,-0.93,-1.11,-0.52,-0.38,-0.43,-0.65,-0.8,-1.05
2011,5,-0.52,-0.77,-0.93,-0.38,-0.43,-0.65,-0.8,-1.05,-1.19
2011,6,-0.38,-0.52,-0.77,-0.43,-0.65,-0.8,-1.05,-1.19,-1.06
2011,7,-0.43,-0.38,-0.52,-0.65,-0.8,-1.05,-1.19,-1.06,-0.87
2011,8,-0.65,-0.43,-0.38,-0.8,-1.05,-1.19,-1.06,-0.87,-0.67
2011,9,-0.8,-0.65,-0.43,-1.05,-1.19,-1.06,-0.87,-0.67,-0.61
2011,10,-1.05,-0.8,-0.65,-1.19,-1.06,-0.87,-0.67,-0.61,-0.5
2011,11,-1.19,-1.05,-0.8,-1.06,-0.87,-0.67,-0.61,-0.5,-0.32
2011,12,-1.06,-1.19,-1.05,-0.87,-0.67,-0.61,-0.5,-0.32,0.02
2012,1,-0.87,-1.06,-1.19,-0.67,-0.61,-0.5,-0.32,0.02,0.25
2012,2,-0.67,-0.87,-1.06,-0.61,-0.5,-0.32,0.02,0.25,0.47
2012,3,-0.61,-0.67,-0.87,-0.5,-0.32,0.02,0.25,0.47,0.38
2012,4,-0.5,-0.61,-0.67,-0.32,0.02,0.25,0.47,0.38,0.26
2012,5,-0.32,-0.5,-0.61,0.02,0.25,0.47,0.38,0.26,0.16
2012,6,0.02,-0.32,-0.5,0.25,0.47,0.38,0.26,0.16,-0.25
2012,7,0.25,0.02,-0.32,0.47,0.38,0.26,0.16,-0.25,-0.53
2012,8,0.47,0.25,0.02,0.38,0.26,0.16,-0.25,-0.53,-0.52
2012,9,0.38,0.47,0.25,0.26,0.16,-0.25,-0.53,-0.52,-0.25
2012,10,0.26,0.38,0.47,0.16,-0.25,-0.53,-0.52,-0.25,-0.25
2012,11,0.16,0.26,0.38,-0.25,-0.53,-0.52,-0.25,-0.25,-0.4
2012,12,-0.25,0.16,0.26,-0.53,-0.52,-0.25,-0.25,-0.4,-0.42
2013,1,-0.53,-0.25,0.16,-0.52,-0.25,-0.25,-0.4,-0.42,-0.39
2013,2,-0.52,-0.53,-0.25,-0.25,-0.25,-0.4,-0.42,-0.39,-0.38
2013,3,-0.25,-0.52,-0.53,-0.25,-0.4,-0.42,-0.39,-0.38,-0.18
2013,4,-0.25,-0.25,-0.52,-0.4,-0.42,-0.39,-0.38,-0.18,-0.2
2013,5,-0.4,-0.25,-0.25,-0.42,-0.39,-0.38,-0.18,-0.2,-0.14
2013,6,-0.42,-0.4,-0.25,-0.39,-0.38,-0.18,-0.2,-0.14,-0.17
2013,7,-0.39,-0.42,-0.4,-0.38,-0.18,-0.2,-0.14,-0.17,-0.49
2013,8,-0.38,-0.39,-0.42,-0.18,-0.2,-0.14,-0.17,-0.49,-0.62
2013,9,-0.18,-0.38,-0.39,-0.2,-0.14,-0.17,-0.49,-0.62,-0.28
2013,10,-0.2,-0.18,-0.38,-0.14,-0.17,-0.49,-0.62,-0.28,0.08
2013,11,-0.14,-0.2,-0.18,-0.17,-0.49,-0.62,-0.28,0.08,0.32
2013,12,-0.17,-0.14,-0.2,-0.49,-0.62,-0.28,0.08,0.32,0.23
2014,1,-0.49,-0.17,-0.14,-0.62,-0.28,0.08,0.32,0.23,-0.06
2014,2,-0.62,-0.49,-0.17,-0.28,0.08,0.32,0.23,-0.06,-0.03
2014,3,-0.28,-0.62,-0.49,0.08,0.32,0.23,-0.06,-0.03,0.29
2014,4,0.08,-0.28,-0.62,0.32,0.23,-0.06,-0.03,0.29,0.44
2014,5,0.32,0.08,-0.28,0.23,-0.06,-0.03,0.29,0.44,0.75
2014,6,0.23,0.32,0.08,-0.06,-0.03,0.29,0.44,0.75,0.71
2014,7,-0.06,0.23,0.32,-0.03,0.29,0.44,0.75,0.71,0.51
2014,8,-0.03,-0.06,0.23,0.29,0.44,0.75,0.71,0.51,0.42
2014,9,0.29,-0.03,-0.06,0.44,0.75,0.71,0.51,0.42,0.47
2014,10,0.44,0.29,-0.03,0.75,0.71,0.51,0.42,0.47,0.7
2014,11,0.75,0.44,0.29,0.71,0.51,0.42,0.47,0.7,0.92
2014,12,0.71,0.75,0.44,0.51,0.42,0.47,0.7,0.92,1.18
2015,1,0.51,0.71,0.75,0.42,0.47,0.7,0.92,1.18,1.46
2015,2,0.42,0.51,0.71,0.47,0.7,0.92,1.18,1.46,1.93
2015,3,0.47,0.42,0.51,0.7,0.92,1.18,1.46,1.93,2.21
2015,4,0.7,0.47,0.42,0.92,1.18,1.46,1.93,2.21,2.36
2015,5,0.92,0.7,0.47,1.18,1.46,1.93,2.21,2.36,2.72
2015,6,1.18,0.92,0.7,1.46,1.93,2.21,2.36,2.72,2.66
