year,month,nino_t,nino_tminus1,nino_tminus2,nino_tplus1,nino_tplus2,nino_tplus3,nino_tplus4,nino_tplus5,nino_tplus6
1996,9,0.42013129102844643,0.44251626898047725,0.4161490683229814,-0.44,-0.41,-0.64,-0.53,-0.37,-0.25
1977,12,0.6717724288840263,0.5943600867678959,0.6376811594202899,0.62,0.25,-0.2,-0.7,-0.74,-0.71
2007,7,0.3894967177242889,0.4143167028199566,0.4099378881987578,-0.72,-1.11,-1.39,-1.54,-1.58,-1.68
1977,6,0.5207877461706784,0.44468546637744033,0.4285714285714286,0.09,-0.01,0.4,0.63,0.48,0.7
2008,10,0.4420131291028447,0.4360086767895879,0.48033126293995865,-0.46,-0.86,-0.89,-0.79,-0.69,-0.35
1991,4,0.5601750547045953,0.4967462039045553,0.5734989648033126,0.26,0.52,0.76,0.68,0.42,0.86
1976,5,0.3566739606126915,0.2885032537960954,0.3374741200828158,-0.38,-0.16,0.12,0.3,0.75,0.71
2010,10,0.14879649890590818,0.14316702819956612,0.21946169772256735,-1.64,-1.6,-1.54,-1.11,-0.93,-0.77
2006,8,0.5864332603938731,0.4924078091106291,0.5072463768115942,0.6,0.7,0.99,1.14,0.7,0.13
1984,11,0.2582056892778994,0.34490238611713664,0.4368530020703934,-1.34,-1.16,-0.72,-0.79,-1.18,-1.03
1998,9,0.24288840262582062,0.21258134490238606,0.3022774327122154,-1.46,-1.46,-1.69,-1.69,-1.32,-0.95
2010,8,0.21444201312910294,0.2581344902386117,0.36438923395445144,-1.6,-1.69,-1.64,-1.6,-1.54,-1.11
1976,6,0.4354485776805252,0.32971800433839477,0.3146997929606625,-0.16,0.12,0.3,0.75,0.71,0.49
1999,7,0.2625820568927791,0.23210412147505421,0.2691511387163562,-1.22,-1.09,-1.23,-1.58,-1.74,-1.77
2009,4,0.4420131291028447,0.3405639913232104,0.34368530020703936,0.06,0.31,0.48,0.56,0.68,0.89
1999,9,0.28008752735229764,0.22559652928416485,0.2650103519668738,-1.23,-1.58,-1.74,-1.77,-1.55,-0.98
2002,1,0.4857768052516412,0.40130151843817785,0.43064182194616984,-0.04,0.01,0.02,0.31,0.72,0.74
2002,4,0.5229759299781183,0.4924078091106291,0.49896480331262943,0.31,0.72,0.74,0.87,1.09,1.25
1969,7,0.47264770240700227,0.48156182212581344,0.5797101449275363,0.16,0.43,0.62,0.4,0.38,0.28
1985,3,0.3457330415754924,0.334056399132321,0.26708074534161497,-1.18,-1.03,-0.91,-0.74,-0.56,-0.7
1956,4,0.30634573304157553,0.31019522776572667,0.3022774327122154,-0.8,-0.92,-1.06,-1.17,-0.98,-0.97
1963,9,0.6673960612691466,0.6247288503253796,0.6086956521739131,0.64,0.77,1.02,0.79,0.38,-0.26
1981,2,0.3785557986870898,0.4121475054229935,0.5175983436853002,-0.64,-0.53,-0.57,-0.46,-0.64,-0.53
1978,9,0.363238512035011,0.3188720173535792,0.39337474120082816,-0.46,-0.38,-0.06,-0.13,-0.22,-0.02
1995,12,0.3107221006564552,0.2516268980477223,0.32505175983436857,-0.86,-0.86,-0.61,-0.47,-0.38,-0.44
1990,11,0.5404814004376368,0.5357917570498916,0.5527950310559007,0.35,0.49,0.32,0.03,0.19,0.26
1976,3,0.33916849015317296,0.21691973969631234,0.09109730848861297,-0.93,-0.74,-0.38,-0.16,0.12,0.3
1981,9,0.4770240700218819,0.3752711496746204,0.37474120082815743,-0.3,-0.41,-0.2,0.13,-0.17,0.13
1999,8,0.25164113785557995,0.23644251626898044,0.26086956521739135,-1.09,-1.23,-1.58,-1.74,-1.77,-1.55
1969,4,0.5864332603938731,0.6073752711496747,0.7370600414078675,0.35,-0.04,-0.21,0.16,0.43,0.62
1997,1,0.4026258205689278,0.351409978308026,0.422360248447205,-0.37,-0.25,0.16,0.64,1.09,1.56
1971,2,0.17505470459518602,0.11496746203904551,0.23188405797101452,-1.36,-1.18,-0.98,-1.13,-1.17,-1.1
1983,9,0.40481400437636766,0.4316702819956616,0.484472049689441,-1.16,-1.29,-1.03,-0.67,-0.19,-0.52
2001,7,0.5098468271334793,0.4490238611713666,0.4368530020703934,-0.05,-0.2,-0.14,-0.37,-0.41,-0.15
1965,5,0.5317286652078775,0.3947939262472885,0.4368530020703934,0.36,0.61,1.12,1.29,1.45,1.42
1954,11,0.27133479212253836,0.16919739696312358,0.1759834368530021,-1.33,-0.93,-0.95,-1.06,-1.22,-1.28
1956,11,0.2691466083150985,0.2798264642082429,0.30434782608695654,-0.89,-0.51,-0.22,0.18,0.41,0.62
1994,4,0.575492341356674,0.5140997830802603,0.5196687370600415,0.31,0.32,0.24,0.53,0.48,0.75
1980,7,0.5054704595185996,0.5357917570498916,0.5238095238095238,-0.38,-0.28,-0.26,-0.1,0.05,-0.36
2006,6,0.5185995623632386,0.47071583514099785,0.44099378881987583,0.01,0.31,0.6,0.7,0.99,1.14
1957,8,0.7024070021881839,0.6789587852494577,0.6376811594202899,0.72,0.7,0.92,1.3,1.78,1.49
1951,6,0.5185995623632386,0.4880694143167028,0.4596273291925466,0.3,0.17,0.51,0.49,0.55,0.31
1973,1,0.912472647702407,0.9436008676789589,0.9006211180124224,1.2,0.27,-0.58,-0.97,-1.18,-1.54
1975,10,0.1181619256017506,0.13015184381778738,0.1925465838509317,-1.66,-1.93,-2.01,-1.26,-0.82,-0.93
1985,6,0.3194748358862145,0.2668112798264642,0.2629399585921326,-0.74,-0.56,-0.7,-0.49,-0.37,-0.41
1981,8,0.4026258205689278,0.351409978308026,0.412008281573499,-0.19,-0.3,-0.41,-0.2,0.13,-0.17
1989,7,0.39387308533916854,0.36225596529284165,0.32505175983436857,-0.53,-0.3,-0.4,-0.45,-0.13,0.01
