year,month,nino_t,nino_tminus1,nino_tminus2,nino_tplus1,nino_tplus2,nino_tplus3,nino_tplus4,nino_tplus5,nino_tplus6
1994,12,0.7921225382932167,0.7310195227765728,0.6625258799171843,1.02,0.73,0.46,0.28,-0.11,-0.14
1951,9,0.6301969365426696,0.527114967462039,0.5693581780538303,0.49,0.55,0.31,0.13,-0.01,-0.11
2001,2,0.38074398249452956,0.3318872017353579,0.31677018633540377,-0.48,-0.49,-0.34,-0.19,-0.04,-0.05
2004,9,0.6958424507658644,0.6550976138828634,0.6086956521739131,0.73,0.66,0.74,0.66,0.36,0.45
1951,1,0.2341356673960613,0.2060737527114967,0.25258799171842655,-1.04,-0.38,-0.23,-0.01,0.0,0.3
2004,8,0.6849015317286653,0.5965292841648591,0.5341614906832298,0.81,0.73,0.66,0.74,0.66,0.36
1982,5,0.6170678336980306,0.5357917570498916,0.5341614906832298,0.53,0.37,0.73,1.49,1.99,1.92
1988,10,0.10284463894967183,0.27331887201735355,0.26086956521739135,-2.05,-1.96,-1.97,-1.47,-1.21,-1.08
1972,8,0.7571115973741795,0.6746203904555315,0.6004140786749482,1.23,1.54,1.9,2.09,1.8,1.2
1951,11,0.638949671772429,0.5965292841648591,0.6128364389233955,0.31,0.13,-0.01,-0.11,-0.02,-0.14
2004,3,0.5448577680525165,0.5401301518438179,0.5631469979296067,0.07,0.06,0.13,0.49,0.76,0.81
2002,10,0.7921225382932167,0.7266811279826465,0.6873706004140787,1.47,1.37,0.6,0.64,0.36,-0.14
1986,5,0.4026258205689278,0.41865509761388287,0.4202898550724638,-0.31,-0.11,0.32,0.53,0.81,1.01
1972,1,0.31728665207877466,0.2234273318872017,0.2691511387163562,-0.45,-0.19,0.07,0.38,0.45,0.85
1962,7,0.4026258205689278,0.3492407809110629,0.3229813664596274,-0.53,-0.78,-0.75,-0.95,-0.93,-0.78
1994,10,0.6827133479212254,0.5943600867678959,0.6169772256728778,1.11,1.25,1.02,0.73,0.46,0.28
1993,9,0.5951859956236324,0.5184381778741866,0.5548654244306419,0.06,0.0,0.16,0.1,0.06,0.11
1964,8,0.24288840262582062,0.28199566160520606,0.27122153209109734,-1.4,-1.35,-1.44,-1.37,-0.89,-0.56
1957,10,0.6717724288840263,0.6464208242950109,0.6811594202898551,0.92,1.3,1.78,1.49,0.98,0.46
2003,10,0.6105032822757113,0.5488069414316703,0.5610766045548654,0.33,0.43,0.27,0.23,0.12,0.07
1958,8,0.5164113785557988,0.4967462039045553,0.5610766045548654,-0.32,-0.27,0.05,0.02,0.53,0.43
1960,8,0.4857768052516412,0.40130151843817785,0.4057971014492754,-0.28,-0.49,-0.45,-0.38,-0.31,-0.19
1993,1,0.5492341356673961,0.45770065075921906,0.44927536231884063,0.41,0.39,0.59,0.78,0.35,0.23
1988,9,0.29978118161925604,0.23210412147505421,0.14699792960662533,-1.9,-2.05,-1.96,-1.97,-1.47,-1.21
1973,9,0.15536105032822767,0.13665943600867675,0.18840579710144933,-1.98,-2.37,-2.26,-2.09,-1.66,-1.45
1992,5,0.7461706783369804,0.7505422993492408,0.7929606625258798,0.58,0.22,0.05,-0.06,-0.3,-0.28
1988,6,0.13785557986870906,0.21908893709327543,0.4161490683229814,-1.74,-1.19,-1.0,-1.9,-2.05,-1.96
1979,9,0.5798687089715536,0.4685466377440347,0.4099378881987578,0.11,0.29,0.52,0.54,0.22,0.03
2003,3,0.5973741794310723,0.6290672451193059,0.6314699792960663,-0.14,-0.61,-0.29,0.21,0.26,0.27
1981,11,0.42888402625820576,0.42516268980477223,0.4679089026915114,-0.2,0.13,-0.17,0.13,0.21,0.45
1993,2,0.6083150984682714,0.5206073752711496,0.4761904761904762,0.39,0.59,0.78,0.35,0.23,0.13
1982,10,0.9540481400437637,0.8134490238611713,0.6583850931677019,1.92,2.2,2.35,1.94,1.38,0.95
